Commune,Average registered price per squared meter in €,MinPriceSMuc,MaxPriceSMuc,Year
Ell,5191,3382,7502,2013
Erpeldange,5191,3382,7502,2013
Esch-sur-Alzette,4496.925,3586,5356,2013
Esch-sur-Sûre,5191,3382,7502,2013
Eschweiler,5191,3382,7502,2013
Ettelbruck,4629.116,3179,5107,2013
Feulen,5191,3382,7502,2013
Fischbach,5191,3382,7502,2013
Flaxweiler,5191,3382,7502,2013
Frisange,4827.583,3898,5765,2013
Garnich,5191,3382,7502,2013
Goesdorf,5191,3382,7502,2013
Grevenmacher,5191,3382,7502,2013
Grosbous,5191,3382,7502,2013
Heffingen,5191,3382,7502,2013
Hesperange,5643.494,4338,6378,2013
Hobscheid,3939.803,3220,4277,2013
Junglinster,5191,3382,7502,2013
Kaerjeng,5191,3382,7502,2013
Kayl,4467.305,3943,5245,2013
Kehlen,5191,3382,7502,2013
Kiischpelt,5191,3382,7502,2013
Koerich,5191,3382,7502,2013
Kopstal,5805.74,4596,8099,2013
Lac de la Haute-Sûre,5191,3382,7502,2013
Larochette,5191,3382,7502,2013
Lenningen,5191,3382,7502,2013
Leudelange,5191,3382,7502,2013
Lintgen,4273.114,3567,5220,2013
Lorentzweiler,5191,3382,7502,2013
Luxembourg City,6443.662,4973,8637,2013
Mamer,4790.469,3413,5608,2013
Manternach,5191,3382,7502,2013
Mersch,5191,3382,7502,2013
Mertert,3925.931,2582,4858,2013
Mertzig,5191,3382,7502,2013
Mompach,5191,3382,7502,2013
Mondercange,5191,3382,7502,2013
Mondorf-les-Bains,5274.712,3878,6498,2013
Niederanven,5191,3382,7502,2013
Nommern,5191,3382,7502,2013
Parc Hosingen,5191,3382,7502,2013
Petange,3934.035,2997,5083,2013
Preizerdaul,5191,3382,7502,2013
Putscheid,5191,3382,7502,2013
Rambrouch,5191,3382,7502,2013
Reckange-sur-Mess,5191,3382,7502,2013
Redange,5191,3382,7502,2013
Reisdorf,5191,3382,7502,2013
Remich,5191,3382,7502,2013
Roeser,5409.038,4562,6538,2013
Rosport,5191,3382,7502,2013
Rumelange,5191,3382,7502,2013
Saeul,5191,3382,7502,2013
Sandweiler,5191,3382,7502,2013
Sanem,4409.834,3552,5472,2013
Schengen,5147.937,3598,6536,2013
Schieren,5191,3382,7502,2013
Schifflange,4385.45,3555,5587,2013
Schuttrange,5191,3382,7502,2013
Septfontaines,5191,3382,7502,2013
Stadtbredimus,5191,3382,7502,2013
Steinfort,4637.883,4080,5371,2013
Steinsel,5467.176,4341,7478,2013
Strassen,6292.847,5586,7321,2013
Tandel,5191,3382,7502,2013
Troisvierges,5191,3382,7502,2013
Tuntange,4552.961,3936,5130,2013
Useldange,5191,3382,7502,2013
Vallée de l'Ernz,5191,3382,7502,2013
Vianden,5191,3382,7502,2013
Vichten,5191,3382,7502,2013
Wahl,5191,3382,7502,2013
Waldbillig,5191,3382,7502,2013
Waldbredimus,5191,3382,7502,2013
Walferdange,5191,3382,7502,2013
Weiler-la-Tour,5191,3382,7502,2013
Weiswampach,3318.423,2382,3843,2013
Wiltz,5191,3382,7502,2013
Wincrange,5191,3382,7502,2013
Winseler,3593.943,2996,4624,2013
Wormeldange,5191,3382,7502,2013
National Average,5191,3382,7502,2013
Beaufort,5283.35,3444,7897,2014
Bech,5283.35,3444,7897,2014
Beckerich,5283.35,3444,7897,2014
Berdorf,5283.35,3444,7897,2014
Bertrange,6974.749,5452,8113,2014
Bettembourg,5515.051,4216,6860,2014
Bettendorf,5283.35,3444,7897,2014
Betzdorf,5283.35,3444,7897,2014
Bissen,4404.352,3828,4722,2014
Biwer,5283.35,3444,7897,2014
Boevange-sur-Attert,5283.35,3444,7897,2014
Boulaide,5283.35,3444,7897,2014
Bourscheid,5283.35,3444,7897,2014
Bous,5283.35,3444,7897,2014
Clervaux,3659.109,3418,3931,2014
Colmar-Berg,5283.35,3444,7897,2014
Consdorf,5283.35,3444,7897,2014
Contern,5283.35,3444,7897,2014
Dalheim,5283.35,3444,7897,2014
Diekirch,4815.85,4086,5696,2014
Differdange,4083.738,3380,4804,2014
Dippach,5283.35,3444,7897,2014
Dudelange,5321.431,4297,6126,2014
Echternach,5283.35,3444,7897,2014
Ell,5283.35,3444,7897,2014
Erpeldange,5283.35,3444,7897,2014
Esch-sur-Alzette,4704.335,3959,5386,2014
Esch-sur-Sûre,5283.35,3444,7897,2014
Eschweiler,5283.35,3444,7897,2014
Ettelbruck,4811.917,3291,5819,2014
Feulen,5283.35,3444,7897,2014
Fischbach,5283.35,3444,7897,2014
Flaxweiler,5283.35,3444,7897,2014
Frisange,4792.413,3770,5781,2014
Garnich,5283.35,3444,7897,2014
Goesdorf,5283.35,3444,7897,2014
Grevenmacher,5283.35,3444,7897,2014
Grosbous,4438.738,4088,4860,2014
Heffingen,5283.35,3444,7897,2014
Hesperange,6010.304,4898,7225,2014
Hobscheid,5283.35,3444,7897,2014
Junglinster,4830.23,3497,5598,2014
Kaerjeng,5283.35,3444,7897,2014
Kayl,4389.146,2937,5597,2014
Kehlen,5113.648,4626,5927,2014
Kiischpelt,5283.35,3444,7897,2014
Koerich,5283.35,3444,7897,2014
Kopstal,6671.999,5609,7934,2014
Lac de la Haute-Sûre,5283.35,3444,7897,2014
Larochette,5283.35,3444,7897,2014
Lenningen,5283.35,3444,7897,2014
Leudelange,5283.35,3444,7897,2014
Lintgen,4205.323,3633,5357,2014
Lorentzweiler,5435.31,4993,5943,2014
Luxembourg City,6745.443,5099,9089,2014
Mamer,5532.278,3745,6067,2014
Manternach,5283.35,3444,7897,2014
