Commune,Number of sales,Average registered price per squared meter in Euros,MinPriceSM,MaxPriceSM,ARPsm_VEPA,MinPriceSM_VEPA,MaxPriceSM_VEPA,Year
Bech,1,3998.736,2543,5933,4845.979,3221,6853,2012
Beckerich,5,3998.736,2543,5933,4845.979,3221,6853,2012
Berdorf,4,3998.736,2543,5933,4845.979,3221,6853,2012
Bertrange,41,4698.006,3502,6088,6107.918,5319,7253,2012
Bettembourg,32,3666.91,2754,4564,4453.785,3493,5100,2012
Bettendorf,5,3998.736,2543,5933,4845.979,3221,6853,2012
Betzdorf,12,4020.1,2474,4971,4845.979,3221,6853,2012
Bissen,7,3998.736,2543,5933,4845.979,3221,6853,2012
Biwer,2,3998.736,2543,5933,4845.979,3221,6853,2012
Boevange-sur-Attert,0,3998.736,2543,5933,4845.979,3221,6853,2012
Boulaide,2,3998.736,2543,5933,4845.979,3221,6853,2012
Bourscheid,1,3998.736,2543,5933,4845.979,3221,6853,2012
Bous,3,3998.736,2543,5933,3554.878,2917,4070,2012
Clervaux,24,3007.043,2003,3499,4845.979,3221,6853,2012
Colmar-Berg,21,3459.188,2534,4061,4845.979,3221,6853,2012
Consdorf,1,3998.736,2543,5933,4845.979,3221,6853,2012
Contern,7,3998.736,2543,5933,4845.979,3221,6853,2012
Dalheim,5,3998.736,2543,5933,4845.979,3221,6853,2012
Diekirch,31,3652.541,2282,4487,4845.979,3221,6853,2012
Differdange,167,3495.463,2337,4579,3843.486,3280,4322,2012
Dippach,17,3793.629,1748,5135,4651.735,4263,5130,2012
Dudelange,109,3726.644,2423,4809,4413.628,3711,5129,2012
Echternach,25,3668.146,2931,4790,4845.979,3221,6853,2012
Ell,5,3998.736,2543,5933,4845.979,3221,6853,2012
Erpeldange,7,3998.736,2543,5933,4845.979,3221,6853,2012
Esch-sur-Alzette,181,3426.611,2183,4340,4588.709,3779,5666,2012
Esch-sur-S?e,5,3998.736,2543,5933,4845.979,3221,6853,2012
Eschweiler,6,3998.736,2543,5933,4845.979,3221,6853,2012
Ettelbruck,54,3608.368,2560,4499,4845.979,3221,6853,2012
Feulen,1,3998.736,2543,5933,4845.979,3221,6853,2012
Fischbach,8,3998.736,2543,5933,4845.979,3221,6853,2012
Flaxweiler,1,3998.736,2543,5933,4845.979,3221,6853,2012
Frisange,15,3740.67,1903,4819,3656.909,2537,4521,2012
Garnich,0,3998.736,2543,5933,4845.979,3221,6853,2012
Goesdorf,9,3998.736,2543,5933,4845.979,3221,6853,2012
Grevenmacher,44,3656.865,2767,4922,3806.672,2965,4625,2012
Grosbous,4,3998.736,2543,5933,4845.979,3221,6853,2012
Heffingen,3,3998.736,2543,5933,4845.979,3221,6853,2012
Hesperange,87,4585.163,3387,5896,5397.53,4008,7033,2012
Hobscheid,19,3567.256,2771,4224,4845.979,3221,6853,2012
Junglinster,16,4440.737,3439,5325,4942.814,4187,6124,2012
Kaerjeng,51,3722.413,2816,4769,4845.979,3221,6853,2012
Kayl,52,3742.394,2875,4569,4165.861,3405,4886,2012
Kehlen,18,4328.216,3252,5532,4845.979,3221,6853,2012
Kiischpelt,1,3998.736,2543,5933,4845.979,3221,6853,2012
Koerich,4,3998.736,2543,5933,4845.979,3221,6853,2012
Kopstal,6,3998.736,2543,5933,5846.862,4672,7065,2012
Lac de la Haute-S?e,3,3998.736,2543,5933,4845.979,3221,6853,2012
